city,area,rooms,bathroom,parking spaces,floor,animal,furniture,hoa (R$),rent amount (R$),property tax (R$),fire insurance (R$),total (R$)
Rio de Janeiro,18.0,3,4,0,4,acept,not furnished,170.41,968.21,37.77,10.12,1186.51
Recife,33.1,4,5,1,15,not acept,furnished,228.52,2280.49,74.88,27.89,2611.78
Porto Alegre,82.7,2,2,1,18,not acept,not furnished,341.44,2945.74,38.58,29.4,3355.16
Belo Horizonte,56.6,3,4,0,28,not acept,furnished,345.64,2563.23,40.06,27.73,2976.66
Sao Paulo,164.0,5,6,0,23,not acept,not furnished,516.39,5191.13,175.86,42.72,5926.1
Sao Paulo,137.1,3,3,2,2,acept,not furnished,753.19,4403.1,213.89,35.81,5405.99
Sao Paulo,108.5,1,1,0,6,acept,not furnished,284.96,3418.24,106.59,46.61,3856.4
Salvador,44.2,3,3,2,11,not acept,not furnished,203.25,1546.59,71.16,15.92,1836.92
Belo Horizonte,43.8,2,3,0,1,not acept,not furnished,269.79,1852.82,87.13,15.33,2225.07
Curitiba,55.4,1,2,2,16,acept,not furnished,152.9,1610.89,23.85,20.47,1808.11
Sao Paulo,199.4,2,1,1,27,not acept,furnished,1118.97,6884.85,194.49,68.92,8267.23
Recife,48.5,2,2,1,7,not acept,not furnished,72.91,9938.835669054633,31.9,4.48,904.56
Salvador,56.6,3,4,1,30,acept,furnished,248.32,1692.16,44.58,13.43,1998.49
Sao Paulo,64.8,2,1,1,5,acept,not furnished,406.97,2168.81,47.15,31.62,2654.55
Sao Paulo,95.0,3,4,1,13,not acept,furnished,542.85,5439.38,253.27,55.88,6291.38
Sao Paulo,166.8,1,1,1,9,not acept,not furnished,726.97,4894.88,165.88,64.94,5852.67
Rio de Janeiro,111.1,1,2,0,7,not acept,not furnished,525.68,2938.03,103.2,21.11,3588.02
Belo Horizonte,72.1,1,2,1,10,acept,not furnished,204.18,1929.28,73.22,25.37,2232.05
Rio de Janeiro,59.8,2,1,1,0,not acept,not furnished,32.91,400.0,19.57,5.22,457.7
Sao Paulo,179.8,2,1,2,15,acept,not furnished,536.01,6491.82,224.72,49.62,7302.17
Belo Horizonte,18.0,3,4,2,22,acept,furnished,46.65,426.41,4.54,4.84,482.44
Sao Paulo,43.2,5,4,0,26,not acept,not furnished,199.26,1200.93,58.43,10.17,1468.79
Sao Paulo,110.9,2,3,2,8,acept,furnished,636.01,5269.32,100.59,47.26,6053.18
Rio de Janeiro,155.6,1,2,1,16,acept,not furnished,671.31,4881.45,236.53,62.46,5851.75
Rio de Janeiro,133.4,2,2,2,27,not acept,not furnished,405.44,4663.74,120.67,51.68,5241.53
Porto Alegre,42.3,4,5,1,24,not acept,furnished,173.14,931.98,41.35,6.19,1152.66
Sao Paulo,66.9,3,4,0,13,not acept,furnished,467.65,3619.76,94.26,45.39,4227.06
Belo Horizonte,136.8,3,2,2,3,acept,not furnished,579.02,3316.84,116.76,27.15,4039.77
Belo Horizonte,102.1,1,1,2,16,not acept,not furnished,169.12,14094.35922414083,53.78,29.19,2314.97
Sao Paulo,105.7,1,1,2,30,acept,not furnished,650.06,3964.37,156.81,30.18,4801.42
Belo Horizonte,76.5,1,1,1,22,not acept,not furnished,214.82,1532.59,64.71,21.69,1833.81
Sao Paulo,83.2,4,5,0,25,not acept,furnished,290.09,2608.68,114.64,20.34,3033.75
Sao Paulo,70.6,2,3,0,3,acept,furnished,488.22,2942.87,55.67,38.46,3525.22
Recife,62.2,3,4,2,27,acept,not furnished,339.05,2441.78,105.54,18.36,2904.73
Recife,62.9,3,2,1,0,acept,furnished,243.36,1599.51,41.84,23.68,1908.39
Salvador,98.6,3,2,2,26,not acept,not furnished,504.26,2998.05,102.76,41.68,3646.75
Rio de Janeiro,53.2,2,3,3,5,not acept,not furnished,201.23,2217.85,27.71,14.59,2461.38
Sao Paulo,119.1,3,2,1,18,not acept,furnished,684.64,4207.19,142.99,46.24,5081.06
Curitiba,52.0,1,1,2,7,not acept,not furnished,172.26,1312.13,56.4,9.89,1550.68
Rio de Janeiro,60.8,5,5,0,2,not acept,not furnished,637.86,3328.27,70.95,25.95,4063.03
Sao Paulo,50.7,1,1,1,5,not acept,furnished,424.59,2289.76,65.17,29.06,2808.58
Rio de Janeiro,126.1,1,1,2,13,acept,furnished,568.87,3340.12,143.16,19.04,4071.19
Sao Paulo,104.0,2,2,1,28,acept,not furnished,710.32,4228.71,93.08,48.71,5080.82
Fortaleza,43.1,4,5,1,10,acept,furnished,348.81,12219.446800522988,87.62,19.29,2329.24
Sao Paulo,136.9,2,3,1,0,acept,not furnished,769.47,4384.56,70.94,57.27,5282.24
Curitiba,99.8,3,4,2,0,not acept,not furnished,686.02,3509.23,101.85,19.81,4316.91
Rio de Janeiro,179.8,1,1,1,4,not acept,furnished,1212.73,6605.65,233.55,54.11,8106.04
Belo Horizonte,86.0,1,1,1,0,not acept,not furnished,174.92,1463.3,42.22,10.17,1690.61
Belo Horizonte,51.7,3,2,0,10,acept,not furnished,392.07,2394.3,63.46,26.8,2876.63
Sao Paulo,235.1,2,3,3,10,acept,not furnished,1246.03,6775.24,240.31,81.29,8342.87
Recife,37.8,3,2,1,30,acept,not furnished,297.06,1676.22,76.31,8.48,2058.07
Porto Alegre,67.3,3,3,1,7,not acept,not furnished,286.77,19319.333888223624,67.66,20.15,2228.06
Fortaleza,82.7,4,3,1,17,acept,not furnished,350.31,2494.5,87.22,22.13,2954.16
Fortaleza,77.7,1,2,1,24,not acept,not furnished,150.43,1671.21,66.52,21.49,1909.65
Belo Horizonte,72.6,3,2,1,14,not acept,not furnished,215.4,1818.45,47.57,19.92,2101.34
Fortaleza,48.6,4,3,1,20,not acept,furnished,245.7,1609.86,17.22,16.86,1889.64
Sao Paulo,101.6,3,3,1,30,not acept,not furnished,537.03,3595.59,171.0,44.47,4348.09
Sao Paulo,116.1,1,1,1,8,acept,furnished,594.91,3500.51,77.89,41.08,4214.39
Sao Paulo,56.1,3,3,2,0,acept,furnished,558.51,22008.81875860874,122.86,31.94,3730.1
Rio de Janeiro,201.9,4,4,2,12,acept,furnished,1174.74,7968.75,267.53,75.6,9486.62
Rio de Janeiro,18.0,2,3,0,15,not acept,not furnished,62.85,400.0,15.11,4.89,482.85
Sao Paulo,18.0,4,5,1,16,acept,not furnished,70.59,538.42,23.0,7.27,639.28
Salvador,18.0,3,2,2,22,acept,not furnished,34.82,400.0,11.88,3.36,450.06
Rio de Janeiro,43.7,1,2,2,27,not acept,not furnished,177.33,1487.09,16.9,21.34,1702.66
Sao Paulo,26.7,1,1,1,14,not acept,not furnished,126.62,10237.488737778656,42.45,11.92,1055.77
Belo Horizonte,79.4,1,1,2,2,acept,furnished,255.25,1834.25,77.25,17.62,2184.37
Sao Paulo,196.9,2,1,2,11,not acept,not furnished,935.74,6340.44,226.32,33.31,7535.81
Salvador,84.1,4,3,1,2,acept,not furnished,241.11,1555.04,70.83,22.45,1889.43
Sao Paulo,18.0,3,4,1,3,not acept,not furnished,88.69,1004.54,47.17,9.64,1150.04
Recife,91.9,3,2,2,0,not acept,not furnished,133.6,1639.68,73.94,16.82,1864.04
Porto Alegre,48.6,3,4,1,28,not acept,not furnished,196.24,1828.01,28.69,23.71,2076.65
Sao Paulo,53.3,2,1,1,22,not acept,furnished,185.58,1283.65,50.26,9.2,1528.69
Sao Paulo,173.4,2,3,1,1,acept,not furnished,666.44,5515.72,125.53,38.33,6346.02
